témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
éculé                ==> towards : 0.0585977       subjected : 0.0585977     reviving : 0.0585977     
moments              ==> at : 0.669168             peruvian : 0.0547164      time : 0.0547164         
dédommagés           ==> destruction : 0.204575    unfit : 0.102287          tse : 0.102287           
assument             ==> duties : 0.079524         shortfall : 0.079524      refuse : 0.079524        
pourront             ==> will : 0.418476           down : 0.235491           be : 0.204555            
impôts               ==> lead : 0.0624703          might : 0.0624703         suitability : 0.0624703  
impardonnable        ==> natural : 0.156796        mistake : 0.156796        solve : 0.156796         
pourrons             ==> it : 0.395345             able : 0.252727           be : 0.236537            
paul                 ==> his : 0.151312            transformed : 0.0771534   themselves : 0.0771534   
ferait               ==> would : 0.545911          do : 0.294586             his : 0.159503           
françaises           ==> french : 0.554386         told : 0.0551126          proposed : 0.0551126     
web                  ==> as : 0.0970445            websites : 0.0849073      remove : 0.0849073       
répéteront           ==> recur : 0.0529432         experienced : 0.0529432   climatic : 0.0529432     
politique            ==> policy : 0.582279         political : 0.41772       is : 7.17227e-07         
honnêteté            ==> proved : 0.0789123        petitions : 0.0789123     herbert : 0.0789123      
otan                 ==> nato : 0.71582            s : 0.27582               believe : 0.00835983     
réunions             ==> rendering : 0.0960095     predictable : 0.0960095   assisting : 0.0960095    
possibilités         ==> opportunities : 0.241002  possibilities : 0.0843503 examine : 0.0843503      
italiennes           ==> great : 0.0762363         deal : 0.0762362          victims : 0.0381373      
pied                 ==> because : 0.215247        was : 0.183068            walk : 0.170344          
heurté               ==> tremendous : 0.109932     regarding : 0.109932      quite : 0.109932         
sortent              ==> vote : 0.188805           done : 0.188805           out : 0.188805           
solides              ==> mr : 0.131756             workable : 0.089366       whose : 0.089366         
innocente            ==> innocent : 0.240317       hand : 0.240317           change : 0.240317        
compétences          ==> competences : 0.510001    should : 0.30473          be : 0.130207            
ayant                ==> having : 0.407166         on : 0.22142              whether : 0.120993       
haug                 ==> haug : 0.522993           her : 0.324006            reflect : 0.0255003      
démarrage            ==> despite : 0.13492         took : 0.13492            quite : 0.13492          
rétablir             ==> it : 0.226093             reintroducing : 0.190601  re : 0.156105            
crise                ==> crisis : 0.999994         take : 5.86959e-06        us : 1.88601e-09         
autrefois            ==> were : 0.573041           there : 0.132141          previously : 0.0660703   
longuenesse          ==> truck : 0.125             occurs : 0.125            longuenesse : 0.125      
coopérations         ==> cooperation : 0.416633    through : 0.3522          will : 0.148785          
indications          ==> anything : 0.231818       can : 0.231817            tell : 0.23181           
irréalistes          ==> unrealistic : 0.0990946   totally : 0.0990946       these : 0.0990946        
témoignée            ==> wall : 0.0834051          shown : 0.0834051         serious : 0.0834051      
vais                 ==> am : 0.482932             will : 0.306111           tests : 0.103041         
ftus                 ==> distribution : 0.0681532  via : 0.0573684           herds : 0.0573684        
négliger             ==> going : 0.0833373         purpose : 0.0833373       position : 0.0833373     
couvre               ==> does : 0.368415           cover : 0.368415          a : 0.262969             
fermer               ==> close : 0.708151          in : 0.0398658            proportionality : 0.016102
sauvegarde           ==> protection : 0.241914     this : 0.132595           delineating : 0.120957   
administrations      ==> for : 0.315318            shortfall : 0.056468      duties : 0.056468        
transport            ==> transport : 0.617179      present : 0.182784        requires : 0.171316      
définitivement       ==> on : 0.356238             for : 0.322671            i : 0.224192             
avoir                ==> for : 0.35909             have : 0.341964           be : 0.168818            
continuant           ==> weather : 0.0697894       too : 0.0697894           times : 0.0697894        
dommages             ==> suppose : 0.0660285       languishing : 0.0660285   jails : 0.0660285        
enlèvement           ==> own : 0.0732631           left : 0.0732631          collected : 0.0732631    
apportiez            ==> respond : 0.178355        grateful : 0.178355       could : 0.178355         
récapitulant         ==> summarising : 0.101236    relationships : 0.101236  provide : 0.101236       
concrètes            ==> crucial : 0.355998        concrete : 0.355998       that : 0.106745          
langen               ==> langen : 0.343272         his : 0.324587            would : 0.169043         
hier                 ==> yesterday : 0.749153      was : 0.250638            in : 0.000209161         
moribonde            ==> smokescreen : 0.102909    serve : 0.102909          legs : 0.102909          
alliance             ==> alliance : 0.586545       than : 0.390222           should : 0.0231284       
mers                 ==> at : 0.0793485            increasing : 0.0775629    see : 0.0775629          
bruxelles            ==> brussels : 0.764159       s : 0.235833              be : 8.58709e-06         
hubert               ==> védrine : 0.246903        hubert : 0.246903         pleased : 0.246887       
structurelles        ==> structural : 0.499864     instead : 0.499864        step : 5.43138e-05       
irlande              ==> ireland : 0.85209         italy : 0.0253883         ratified : 0.0253883     
belgrade             ==> belgrade : 0.809886       european : 0.140047       at : 0.049643            
empêche              ==> clear : 0.438037          on : 0.226196             as : 0.206905            
polluants            ==> speed : 0.111113          polluting : 0.111113      obliging : 0.111113      
antifraude           ==> an : 0.651822             approach : 0.339317       fraud : 0.00880239       
internationaux       ==> prospectuses : 0.103213   patent : 0.103213         number : 0.103213        
bienvenus            ==> mrs : 0.250639            includes : 0.250639       welcome : 0.250639       
arrête               ==> authority : 0.13193       constitutional : 0.0659651 store : 0.0659651        
construction         ==> all : 0.319947            s : 0.312564              may : 0.232995           
déloyales            ==> tbr : 0.124881            remedy : 0.124881         propose : 0.124881       
convergence          ==> moving : 0.124617         together : 0.124617       how : 0.124617           
conjointe            ==> into : 0.0661878          enter : 0.0661878         assure : 0.0661878       
régionale            ==> regional : 0.812662       committee : 0.186816      tourism : 0.0005186      
fragmentation        ==> links : 0.0904125         constitute : 0.0904125    barnier : 0.0904125      
allées               ==> as : 0.0970445            websites : 0.0849073      remove : 0.0849073       
placer               ==> demanding : 0.0875041     respond : 0.0875041       precautions : 0.0875041  
raisonnables         ==> seen : 0.0680267          repetitive : 0.0680267    protracted : 0.0680267   
proverbe             ==> try : 0.139934            they : 0.123575           succeed : 0.0699671      
entendu              ==> course : 0.455864         of : 0.259258             at : 0.227417            
distribution         ==> a : 0.296773              people : 0.24832          distribution : 0.209566  
barcelone            ==> barcelona : 0.607054      in : 0.367979             reinvigorating : 0.00499346
gardiens             ==> than : 0.249443           guardians : 0.249443      better : 0.249443        
nouvel               ==> new : 0.618498            for : 0.158646            powers : 0.0896988       
revanche             ==> but : 0.388471            whose : 0.0694194         national : 0.0694194     
aussitôt             ==> turn : 0.116622           finished : 0.116622       affect : 0.116622        
résidence            ==> residence : 0.0757277     nationality : 0.0757277   applicable : 0.0757277   
corriger             ==> things : 0.107605         them : 0.107605           thanked : 0.107605       
empêché              ==> those : 0.153894          taken : 0.0769472         seem : 0.0769472         
préserver            ==> s : 0.538208              we : 0.217089             stocks : 0.0699871       
seul                 ==> for : 0.390415            only : 0.322525           this : 0.19201           
maximalistes         ==> tendencies : 0.0754513    ongoing : 0.0754513       minimalist : 0.0754513   
bouleversement       ==> sanctions : 0.148177      turnaround : 0.0740884    responded : 0.0740884    
arrêté               ==> may : 0.556108            their : 0.443141          with : 0.000725532       
débat                ==> debate : 0.963087         item : 0.034952           that : 0.00196116        
bliley               ==> produced : 0.116671       leach : 0.116671          gramm : 0.116671         
oppression           ==> subsequently : 0.0254797  left : 0.0254797          form : 0.0254797         
évidentes            ==> systems : 0.142857        law : 0.142857            expressions : 0.142857   
céderait             ==> did : 0.147603            trialogue : 0.147603      shift : 0.147603         
diffère              ==> its : 0.0855436           varies : 0.0855436        calling : 0.0855436      
chance               ==> chance : 0.447787         a : 0.296982              must : 0.223893          
déterminant          ==> judge : 0.215564          believe : 0.215564        crucial : 0.215564       
développées          ==> developed : 0.461989      terms : 0.119097          greater : 0.0595528      
continuera           ==> will : 0.49328            be : 0.116674             alavanos : 0.0585362     
niveau               ==> level : 0.77193           at : 0.22807              and : 1.84823e-08        
fermant              ==> specific : 0.0821979      segments : 0.0821979      importantly : 0.0821979  
bouleverser          ==> we : 0.135621             meet : 0.080839           requirements : 0.080839  
ménagé               ==> both : 0.335206           effort : 0.252396         spared : 0.0798966       
effectives           ==> weapons : 0.15147         terrorism : 0.15147       invites : 0.15147        
pension              ==> lower : 0.185878          industrial : 0.0929389    injury : 0.0929389       
rural                ==> rural : 0.813542          is : 0.186456             a : 2.48273e-07          
frappant             ==> object : 0.111111         wake : 0.111111           constant : 0.111111      
mères                ==> mothers : 0.774833        for : 0.223481            so : 0.000142841         
savez                ==> know : 0.378691           are : 0.335296            under : 0.183962         
brevet               ==> regulatory : 0.103223     introduced : 0.103223     prospectuses : 0.103223  
rigoureuse           ==> scrupulously : 0.0749289  petersberg : 0.0749289    page : 0.0749289         
malfaiteurs          ==> wrongdoers : 0.0871015    wishes : 0.0871015        them : 0.0871015         
éleveurs             ==> for : 0.637603            all : 0.217138            subsidies : 0.0215639    
tarder               ==> pay : 0.0831906           long : 0.0831906          regrets : 0.0415953      
fortiori             ==> thing : 0.183636          dictates : 0.183636       challenged : 0.183636    
aviation             ==> aircraft : 0.382057       from : 0.356887           tax : 0.256956           
odieux               ==> sent : 0.140475           message : 0.140475        lluch : 0.140475         
tulipes              ==> tulips : 0.0777748        reasonably : 0.0777748    finance : 0.0777748      
votes                ==> most : 0.335262           rise : 0.167904           gave : 0.167904          
voter                ==> vote : 0.45712            number : 0.25024          proposed : 0.105227      
injustifiée          ==> unjustified : 0.16276     supportive : 0.16276      broadly : 0.16276        
impuissants          ==> upon : 0.0907196          special : 0.0907196       depends : 0.0907196      
avril                ==> suspicion : 0.117168      sister : 0.117168         march : 0.117168         
optimiste            ==> note : 0.368728           up : 0.184364             beat : 0.184364          
soutenons            ==> support : 0.674968        which : 0.31295           by : 0.0120563           
médicale             ==> every : 0.14257           why : 0.14257             protecting : 0.14257     
blanche              ==> taken : 0.0578881         test : 0.0578881          stethoscope : 0.0578881  
aboutissions         ==> it : 0.0675854            will : 0.0674668          whereby : 0.041046       
progression          ==> those : 0.153894          taken : 0.0769472         seem : 0.0769472         
mauvais              ==> bad : 0.341912            poor : 0.287847           a : 0.227523             
courrier             ==> tabled : 0.166105         mail : 0.166105           re : 0.166105            
linkohr              ==> saying : 0.138472         ourselves : 0.138472      linkohr : 0.138472       
associe              ==> her : 0.193643            morterero : 0.10333       entire : 0.10333         
idéologique          ==> together : 0.116555       scrupulous : 0.116555     protects : 0.116555      
paralysé             ==> factories : 0.158524      vessels : 0.0792621       shore : 0.0792621        
dirais               ==> courageous : 0.0925325    say : 0.0925325           peace : 0.0925325        
robles               ==> his : 0.318246            robles : 0.162226         gil : 0.162226           
299                  ==> 299 : 0.663193            11 : 0.0381034            updated : 0.0381034      
faisaient            ==> violent : 0.0910851       uprisings : 0.0910851     turkey : 0.0910851       
voudra               ==> into : 0.146525           pardon : 0.0732626        entering : 0.0732626     
cher                 ==> a : 0.119158              an : 0.0799229            said : 0.0676222         
chez                 ==> it : 0.207013             and : 0.196748            increase : 0.117701      
chef                 ==> my : 0.515234             for : 0.477074            vigo : 0.000675514       
hors                 ==> unmarried : 0.0588255     marriage : 0.0588255      enforced : 0.0588255     
kaliningrad          ==> through : 0.113055        solutions : 0.113055      regards : 0.113055       
accélérerait         ==> will : 0.0903969          slaughter : 0.0868503     shift : 0.0868503        
italiens             ==> italian : 0.0960864       disease : 0.0960864       basis : 0.0480432        
maintenus            ==> surprised : 0.185318      remain : 0.185318         greater : 0.185318       
communauté           ==> community : 0.989897      is : 0.0101031            put : 3.31146e-11        
incompatible         ==> unworkable : 0.0552843    understand : 0.0552843    text : 0.0552843         
parlementaires       ==> members : 0.519243        parliament : 0.387139     courageous : 0.0813929   
trouvé               ==> found : 0.647048          commission : 0.127273     for : 0.0557613          
remplacer            ==> service : 0.0971673       information : 0.0600048   replace : 0.0600048      
reconstruction       ==> reconstruction : 0.838141 was : 0.161812            this : 4.67294e-05       
unanimité            ==> unanimous : 0.251474      by : 0.18514              unanimously : 0.157837   
vraies               ==> regarded : 0.0456443      power : 0.0456443         off : 0.0456443          
paliers              ==> massive : 0.0938719       them : 0.0938719          terms : 0.0938719        
espagnol             ==> spanish : 0.511302        in : 0.264537             is : 0.133237            
reconnaissent        ==> upon : 0.12956            touches : 0.12956         theme : 0.12956          
protection           ==> protection : 0.874739     is : 0.125261             guaranteed : 3.70163e-12 
commentaires         ==> comments : 0.54945        respect : 0.0853432       let : 0.0853432          
démarcation          ==> impervious : 0.0880486    demarcation : 0.0880486   applied : 0.0880486      
près                 ==> is : 0.339712             was : 0.316128            which : 0.19886          
interne              ==> internal : 0.666667       system : 0.111102         however : 0.111102       
associé              ==> process : 0.0879805       an : 0.0838673            sauquillo : 0.0444328    
destinée             ==> vigorous : 0.140478       purpose : 0.140478        adopt : 0.140478         
indiquer             ==> may : 0.38129             council : 0.276843        with : 0.0833536         
partenaires          ==> partners : 0.58582        in : 0.226394             the : 0.0660765          
activement           ==> involved : 0.574492       in : 0.297547             these : 0.00926802       
moluques             ==> moluccas : 0.196481       maximum : 0.196481        bear : 0.196481          
dernières            ==> recent : 0.501356         faced : 0.266352          have : 0.169385          
envoi                ==> date : 0.1458             off : 0.1458              kick : 0.1458            
appeler              ==> upon : 0.0660285          left : 0.0660285          suppose : 0.0660285      
surpêche             ==> at : 0.0793485            increasing : 0.0775629    see : 0.0775629          
contraignant         ==> binding : 0.611868        legally : 0.0464783       party : 0.0464783        
qui                  ==> which : 0.50743           that : 0.292663           the : 0.0833652          
agirait              ==> every : 0.495676          establishing : 0.444915   for : 0.0523327          
fournies             ==> trading : 0.234689        putting : 0.117345        progressive : 0.117345   
actuels              ==> eu : 0.339313             current : 0.319261        further : 0.314998       
total                ==> whole : 0.456852          on : 0.363085             that : 0.176007          
respectés            ==> respected : 0.265093      thrift : 0.12629          thanked : 0.12629        
exacte               ==> incidence : 0.0818626     true : 0.0818626          vindicated : 0.0818626   
commencerai          ==> me : 0.125145             let : 0.125145            first : 0.125145         
souhaitable          ==> desirable : 0.553581      as : 0.0659874            genuinely : 0.0304561    
respectée            ==> respected : 0.328081      countries : 0.178536      question : 0.175816      
discriminés          ==> great : 0.0762363         deal : 0.0762362          victims : 0.0381373      
dessine              ==> paradoxically : 0.110955  however : 0.110955        headaches : 0.110955     
concitoyens          ==> citizens : 0.54916        an : 0.113601             opinion : 0.0568743      
tariff               ==> was : 0.100923            a : 0.0757609             method : 0.0706796       
1991                 ==> as : 0.475938             1991 : 0.407309           allow : 0.0185616        
1990                 ==> worse : 0.072176          usa : 0.072176            since : 0.072176         
1992                 ==> was : 0.142856            vote : 0.142856           securing : 0.142856      
1997                 ==> 1997 : 0.951146           out : 0.0488542           into : 9.83707e-08       
1996                 ==> had : 0.109465            stating : 0.0547714       shortcomings : 0.0547714 
1999                 ==> 1999 : 0.878325           was : 0.121675            a : 7.81405e-09          
1998                 ==> 1998 : 0.862927           under : 0.137073          run : 1.94465e-15        
transparence         ==> transparency : 0.772469   transparent : 0.227318    that : 0.000212428       
durera               ==> remain : 0.0895592        70 : 0.0895592            line : 0.0895592         
partant              ==> it : 0.0675854            will : 0.0674668          whereby : 0.041046       
vivais               ==> represented : 0.0973232   might : 0.0973232         say : 0.0973232          
étudiera             ==> virtues : 0.0880803       suspect : 0.0880803       fragment : 0.0880803     
theato               ==> theato : 0.725354         her : 0.251544            an : 0.0182564           
produits             ==> products : 0.896465       is : 0.103497             product : 3.58777e-05    
552                  ==> ec : 0.151311             designed : 0.0760727      required : 0.0760727     
conforter            ==> original : 0.101972       wider : 0.101972          solely : 0.101972        
produite             ==> produced : 0.106766       portion : 0.106766        listen : 0.106766        
considérablement     ==> wiechert : 0.0886698      pigs : 0.0886698          lows : 0.0886698         
incorporé            ==> incorporated : 0.120792   subject : 0.120792        gather : 0.120792        
abattage             ==> will : 0.0903969          slaughter : 0.0868503     shift : 0.0868503        
citer                ==> as : 0.0855517            fellow : 0.0761527        lehne : 0.0761527        
aident               ==> redress : 0.303728        office : 0.303728         helps : 0.303728         
jusqu                ==> so : 0.399322             far : 0.289069            will : 0.212188          
nombre               ==> number : 0.629762         of : 0.231665             many : 0.138573          
consistera           ==> safeguards : 0.305923     those : 0.293592          convince : 0.25752       
stratégique          ==> strategic : 0.432551      words : 0.0688239         extremely : 0.0688239    
las                  ==> year : 0.148369           sick : 0.0741844          hearing : 0.0741844      
provoqué             ==> struggled : 0.0909094     larger : 0.0909094        gaps : 0.0909094         
erreurs              ==> mistakes : 0.552583       have : 0.447133           it : 0.000282802         
green                ==> working : 0.0490701       uk : 0.0490701            out : 0.0490701          
ambulance            ==> used : 0.0404342          police : 0.0404342        own : 0.0404342          
réduire              ==> eu : 0.559123             reduction : 0.373308      on : 0.0674441           
pragmatisme          ==> triumph : 0.285712        utopianism : 0.142856     pragmatism : 0.142856    
office               ==> office : 0.728355         s : 0.0424015             with : 0.0378257         
faudrait             ==> be : 0.349359             have : 0.176024           taken : 0.147895         
retraitées           ==> themselves : 0.0532183    survey : 0.0532183        idea : 0.0532183         
occidentaux          ==> western : 0.7441          trading : 0.0600569       announcement : 0.0300285 
enfants              ==> children : 1              a : 4.21226e-07           s : 7.7838e-10           
orphelinats          ==> largest : 0.125           northern : 0.125          workings : 0.125         
mettent              ==> redressing : 0.111111     others : 0.111111         emphasis : 0.111111      
légendaire           ==> subsequently : 0.0254797  left : 0.0254797          form : 0.0254797         
délits               ==> carried : 0.0748005       third : 0.0748005         officials : 0.0748005    
vente                ==> withdrawal : 0.0999119    selling : 0.0999119       rate : 0.0999119         
production           ==> production : 0.998771     has : 0.0012144           in : 1.34792e-05         
suffit               ==> enough : 0.479314         is : 0.398082             predictability : 0.0123165
sagesse              ==> wisdom : 0.250104         view : 0.250104           shares : 0.250104        
carton               ==> substance : 0.0570508     self : 0.0570508          reject : 0.0570508       
généralement         ==> s : 0.354451              views : 0.190311          outlook : 0.190311       
stratégie            ==> strategy : 0.894221       for : 0.105333            an : 0.000444455         
écartée              ==> most : 0.089615           what : 0.086496           from : 0.0561515         
banc                 ==> his : 0.102188            i : 0.102187              mention : 0.0510942      
fixerons             ==> down : 0.174365           position : 0.174365       reflected : 0.174365     
supérieure           ==> done : 0.136169           up : 0.0680843            transposed : 0.0680843   
mollesse             ==> wading : 0.138873         treacle : 0.138873        tackle : 0.138873        
l                    ==> the : 0.779566            of : 0.119463             and : 0.0463409          
lancés               ==> resultant : 0.103068      arms : 0.103068           increased : 0.103068     
installé             ==> he : 0.0800732            come : 0.0800732          system : 0.0800732       
tendent              ==> committed : 0.16276       unjustified : 0.16276     behind : 0.16276         
isolé                ==> could : 0.1453            he : 0.145298             stop : 0.0726501         
opposé               ==> were : 0.354422           said : 0.354422           against : 0.291156       
intérieures          ==> home : 0.499797           threefold : 0.249898      regarding : 0.249898     
dumping              ==> watered : 0.0947356       politically : 0.0947356   marketplace : 0.0947356  
crimes               ==> crimes : 0.999972         in : 2.84634e-05          forced : 1.90372e-09     
manifestement        ==> eu : 0.135786             individual : 0.0741788    finance : 0.0741788      
financières          ==> financial : 0.999941      of : 5.94928e-05          perspective : 5.68267e-10
modifie              ==> unless : 0.0741362        rectifies : 0.0741362     post : 0.0741362         
forte                ==> an : 0.209295             stronger : 0.133904       based : 0.0669521        
0448                 ==> market : 0.166667         legal : 0.166667          internal : 0.166667      
effectuées           ==> types : 0.118837          threatening : 0.118837    preparations : 0.118837  
arménie              ==> two : 0.103733            settle : 0.103733         bilateral : 0.103733     
veto                 ==> veto : 0.480306           up : 0.264433             right : 0.255261         
déclare              ==> s : 0.324244              is : 0.287116             as : 0.241501            
parviennent          ==> unblock : 0.171745        reconciliation : 0.171745 order : 0.171745         
essayons             ==> trying : 0.318258         safeguard : 0.318258      s : 0.318258             
collation            ==> we : 0.135621             meet : 0.080839           requirements : 0.080839  
fixe                 ==> be : 0.11614              target : 0.0992793        set : 0.0992793          
courtes              ==> timescales : 0.152276     shorter : 0.152276        shorten : 0.152276       
chirac               ==> chirac : 0.564192         i : 0.409936              wish : 0.00519332        
2279                 ==> 358 : 0.148426            2279 : 0.148426           0578 : 0.148426          
tragédies            ==> tragedies : 0.398889      certainty : 0.0318247     follow : 0.0318247       
dispositifs          ==> resolve : 0.2             offerings : 0.2           measures : 0.2           
cantonner            ==> traditional : 0.163696    peacekeeping : 0.163696   way : 0.163696           
considérée           ==> regarded : 0.499997       thought : 0.499997        for : 5.94604e-06        
0192                 ==> silva : 0.0783529         moreira : 0.0783529       greenhouse : 0.0783529   
maintiendra          ==> will : 0.165701           remain : 0.0838028        interdepartmental : 0.0838028
0197                 ==> regulations : 0.0545618   recommendation : 0.0545618 medicinal : 0.0545618    
0195                 ==> marketing : 0.0801729     klass : 0.0801729         cns : 0.0801729          
vexante              ==> vexatious : 0.496369      hard : 0.496369           particularly : 0.00726175
rendez               ==> off : 0.145828            kick : 0.145828           europeans : 0.145828     
incarcéré            ==> suspicion : 0.117168      sister : 0.117168         march : 0.117168         
hongrie              ==> hungary : 0.51703         path : 0.0347775          duly : 0.0347775         
énergétique          ==> energy : 0.667701         dependence : 0.114518     might : 0.0311519        
considération        ==> with : 0.473368           account : 0.351206        them : 0.175424          
intègre              ==> no : 0.0861473            kinds : 0.0732492         incorporate : 0.0732492  
prévision            ==> she : 0.230773            prepare : 0.0769243       engaged : 0.0769243      
responsable          ==> responsible : 0.491426    on : 0.14136              could : 0.0532891        
observations         ==> myself : 0.0797314        deserve : 0.0797314       pity : 0.0797314         
autrement            ==> surprising : 0.0533902    situation : 0.0533902     institutional : 0.0533902
fabricant            ==> producers : 0.0799285     safe : 0.0799285          reversed : 0.0799285     
centralisatrice      ==> rigid : 0.16637           rather : 0.16637          centralising : 0.16637   
palestine            ==> shoot : 0.0713576         palestine : 0.0713576     immediately : 0.0713576  
médical              ==> told : 0.0919482          further : 0.0919482       examination : 0.0919482  
confier              ==> unworkable : 0.0552843    understand : 0.0552843    text : 0.0552843         
prendre              ==> take : 0.500069           that : 0.288738           to : 0.211178            
prendra              ==> into : 0.125144           sure : 0.125144           occasion : 0.125144      
incinération         ==> incineration : 0.485203   very : 0.116099           legitimate : 0.0386995   
effectuer            ==> is : 0.476157             out : 0.372432            on : 0.110237            
merci                ==> thank : 0.545447          you : 0.454539            his : 1.43223e-05        
combustibles         ==> renewables : 0.105515     meet : 0.105515           let : 0.105515           
réglant              ==> take : 0.142947           regulates : 0.142947      numbers : 0.142947       
réalisée             ==> those : 0.153894          taken : 0.0769472         seem : 0.0769472         
horribles            ==> whose : 0.092975          trauma : 0.092975         terrible : 0.092975      
contente             ==> us : 0.125329             thorough : 0.0626644      conclusion : 0.0626644   
employée             ==> has : 0.174904            held : 0.0705781          striven : 0.0705781      
réalisés             ==> made : 0.335076           have : 0.0784345          stage : 0.0731242        
radiodiffusion       ==> specifies : 0.0548054     pornography : 0.0548054   mental : 0.0548054       
employés             ==> employees : 0.443867      lower : 0.0913            their : 0.0648202        
spécificités         ==> statement : 0.249993      prepared : 0.249993       functions : 0.249993     
souplesse            ==> surprised : 0.185318      remain : 0.185318         greater : 0.185318       
uniformisation       ==> for : 0.362891            establishing : 0.049008   need : 0.049008          
annexe               ==> from : 0.0650517          vegetables : 0.0584676    putting : 0.0584676      
alors                ==> be : 0.233398             in : 0.200375             it : 0.163597            
pandore              ==> so : 0.0639163            far : 0.0639163           seats : 0.0639163        
basée                ==> principles : 0.243204     scope : 0.0456779         rigorous : 0.0456779     
souffrant            ==> suffer : 0.164734         worst : 0.164734          own : 0.164734           
álvarez              ==> main : 0.178184           álvarez : 0.178184        very : 0.178184          
forces               ==> forces : 0.49917          deal : 0.332835           once : 0.167995          
tentait              ==> used : 0.0404342          police : 0.0404342        own : 0.0404342          
améliorations        ==> important : 0.102796      supported : 0.102796      suggested : 0.102796     
bornes               ==> an : 0.158683             it : 0.145017             unrestrained : 0.0796723 
roumanie             ==> romania : 0.478364        workings : 0.0318319      visited : 0.0318319      
conscience           ==> it : 0.338179             conscience : 0.324628     we : 0.161637            
apprécions           ==> appreciate : 0.449549     put : 0.28959             like : 0.187856          
loyale               ==> only : 0.333333           equal : 0.333333          create : 0.333333        
manifester           ==> transparency : 0.148537   problem : 0.148537        ground : 0.148537        
économise            ==> ships : 0.0697894         through : 0.0697894       weather : 0.0697894      
revêtir              ==> top : 0.15307             down : 0.15307            bottom : 0.15307         
état                 ==> state : 0.987939          a : 0.0118607             from : 0.00014982        
phase                ==> stage : 0.491985          improved : 0.327927       policy : 0.160498        
plaindre             ==> undesirable : 0.117859    happened : 0.117859       free : 0.117859          
défigurent           ==> wind : 0.101462           turbines : 0.101462       ruining : 0.101462       
grave                ==> serious : 0.836028        there : 0.136198          this : 0.027771          
theorin              ==> together : 0.142921       theorin : 0.142921        sacrédeus : 0.142921     
respectant           ==> table : 0.372055          groups : 0.324121         s : 0.264534             
bénéficiera          ==> morass : 0.105468         harmony : 0.105468        ivoirian : 0.105468      
disent               ==> this : 0.467139           say : 0.373954            it : 0.134036            
aung                 ==> suu : 0.16428             san : 0.16428             kyi : 0.16428            
1er                  ==> 1 : 0.472468              by : 0.395284             will : 0.132248          
lacune               ==> act : 0.0330626           recent : 0.0330626        disincentives : 0.0330626
sun                  ==> ievoli : 0.325693         sun : 0.325693            by : 0.212241            
compliquées          ==> various : 0.0928911       ups : 0.0928911           told : 0.0928911         
notion               ==> notion : 0.624501         which : 0.19807           on : 0.152904            
pourraient           ==> could : 0.395957          member : 0.136175         states : 0.134655        
créons               ==> would : 0.241139          longer : 0.127366         line : 0.127366          
proviennent          ==> arise : 0.140403          type : 0.0702017          problem : 0.0702017      
marocaines           ==> under : 0.144562          cost : 0.144562           moroccan : 0.144562      
inconfortables       ==> sees : 0.125              awkward : 0.125           achieving : 0.125        
marinho              ==> joint : 0.0484866         transportable : 0.0484866 tracing : 0.0484866      
création             ==> creation : 0.677514       european : 0.183578       a : 0.138909             
surcroît             ==> has : 0.496982            crimes : 0.0724773        addition : 0.0724773     
partageait           ==> these : 0.0929498         shared : 0.0929498        other : 0.0929498        
actualisation        ==> reinforcing : 0.0821976   raft : 0.0821976          playing : 0.0821976      
jugée                ==> tried : 0.260092          released : 0.130046       person : 0.130046        
dg                   ==> directorates : 0.169344   individual : 0.0913604    prepared : 0.0846718     
de                   ==> of : 0.466248             the : 0.265469            to : 0.149431            
da                   ==> silva : 0.0783529         moreira : 0.0783529       greenhouse : 0.0783529   
félicitait           ==> stated : 0.0889238        welcomes : 0.0889238      socialists : 0.0889238   
du                   ==> the : 0.547708            of : 0.451617             to : 0.000414352         
malgré               ==> of : 0.527084             despite : 0.468156        is : 0.0014451           
offres               ==> tender : 0.444147         possible : 0.333932       public : 0.221919        
désiste              ==> us : 0.125329             left : 0.0626644          giving : 0.0626644       
suédoise             ==> am : 0.2                  swedish : 0.2             northern : 0.2           
opérationnels        ==> safeguards : 0.072432     follow : 0.072432         feed : 0.072432          
genève               ==> amended : 0.0743334       thereof : 0.0743334       stipulate : 0.0743334    
observer             ==> whatever : 0.154808       kind : 0.154808           note : 0.154808          
discussions          ==> discussions : 0.452834    been : 0.2588             special : 0.162207       
initiales            ==> told : 0.122815           struck : 0.122815         stages : 0.122815        
économiserait        ==> could : 0.1453            he : 0.145298             stop : 0.0726501         
techniques           ==> technical : 0.887246      with : 0.104561           a : 0.00607083           
majeur               ==> major : 0.125             look : 0.125              whole : 0.125            
co2                  ==> co2 : 0.40922             while : 0.316165          increase : 0.274297      
ambiguïtés           ==> produced : 0.0923171      omissions : 0.0923171     generally : 0.0923171    
bien                 ==> well : 0.319366           of : 0.318764             to : 0.0967857           
trente               ==> thirty : 0.127514         may : 0.127514            enter : 0.127514         
introduire           ==> previous : 0.412516       order : 0.217279          prove : 0.0924264        
arrêtées             ==> which : 0.167836          highly : 0.0873136        discussed : 0.0873136    
accord               ==> agreement : 0.837111      an : 0.134177             agree : 0.0287044        
éventualité          ==> representative : 0.136735 dangers : 0.136735        particularly : 0.136735  
déchéance            ==> presumed : 0.180535       speak : 0.103591          item : 0.0902675         
